CMN,anziani,fam,istr_sup,maschi,minori,occ,pop,stran
61063,304,590,73,659,180,452,1382,13
61064,298,626,81,732,175,460,1469,49
61065,259,789,106,867,269,568,1687,116
61066,251,589,116,580,172,377,1194,32
61067,869,2935,496,3826,1398,2511,7657,241
61068,381,919,172,1091,336,757,2232,135
61069,548,1293,226,1505,479,993,3032,61
61070,594,1464,253,1570,405,1127,3230,75
61071,161,375,51,392,109,240,841,78
61072,84,211,20,227,69,133,450,35
61073,339,727,131,837,292,565,1733,64
61074,1534,4879,822,6573,2457,3633,13196,869
61075,2161,6086,891,8312,3330,5340,16884,515
61076,196,418,41,443,100,274,890,15
61077,1287,5494,815,7142,3084,4312,14274,949
61078,2992,8833,2320,10985,3811,7830,22160,1380
61079,160,418,58,434,114,295,887,41
61080,329,802,169,940,298,631,1918,36
61081,1382,4376,1012,5757,2384,3937,12043,383
61082,1719,4999,1126,6882,2729,4544,14074,361
61083,4794,12954,4072,15175,5439,10641,31968,1729
61084,319,940,115,1249,445,844,2553,136
61085,524,2125,335,2871,1205,1904,5717,161
61086,427,959,156,1002,315,641,2095,63
61087,1579,5075,823,7423,3089,4271,14869,537
61088,3738,8762,1476,9972,2871,6391,20414,692
61089,1083,2785,510,3467,1235,2456,7182,542
